repo	module	file_path	class_name	kind	extends	table_or_path	field_count	fields
load-bookmark-backend	api-dtos	api-dtos/src/main/java/cars/ship/loadbookmark/dtos/SocketMessageObjectDto.java	SocketMessageObjectDto	dto			1	data:T
load-bookmark-backend	api-dtos	api-dtos/src/main/java/cars/ship/loadbookmark/dtos/VehicleDto.java	VehicleDto	dto			6	id:String;make:String;model:String;year:Integer;type:String;operable:boolean
load-bookmark-backend	api-dtos	api-dtos/src/main/java/cars/ship/loadbookmark/dtos/BookmarkChangeDto.java	BookmarkChangeDto	dto			5	isCreated:boolean;isDeleted:boolean;bookmarkId:String;bookmark:BookmarkDto;userIds:String[]
load-bookmark-backend	api-dtos	api-dtos/src/main/java/cars/ship/loadbookmark/dtos/CreateBookmarkDto.java	CreateBookmarkDto	dto			0	
load-bookmark-backend	db-entities	db-entities/src/main/java/cars/ship/loadbookmark/entities/BookmarkEntity.java	BookmarkEntity	jpa		bookmarks	6	id:String;loadId:String;userId:String;loadStatus:String;expirationTime:LocalDateTime;bookmark:BookmarkDto
load-recommender	api-dtos	api-dtos/src/main/java/cars/ship/recommender/dtos/out/LoadDto.java	LoadDto	dto			44	id:String;pickupCity:String;pickupState:String;pickupZip:String;pickupRequestedDateStart:LocalDate;pickupRequestedDateStartType:String;pickupRequestedDateEnd:LocalDate;pickupRequestedDateEndType:String;pickupAddressLocation:GeoPointReadDto;deliveryCity:String;deliveryState:String;deliveryZip:String;deliveryRequestedDateStart:LocalDate;deliveryRequestedDateStartType:String;deliveryRequestedDateEnd:LocalDate;deliveryRequestedDateEndType:String;deliveryAddressLocation:GeoPointReadDto;totalPaymentToCarrier:Double;postedTime:Instant;distanceImperial:int;pricePerMile:Double;paymentMethod:String;paymentOnDelivery:Double;paymentOnDeliveryMethod:String;paymentOnPickup:Double;paymentOnPickupMethod:String;shipperName:String;negotiationState:NegotiationState;lastOfferExpirationTime:Instant;shipperUserManagementId:String;status:String;shipperLoadId:String;shipperId:String;enclosedTrailer:boolean;paymentTermBegins:String;paymentTermsBusinessDays:String;canBeClaimed:boolean;createTime:Instant;updateTime:Instant;postedExternallyTime:Instant;exclusivityExpirationTime:Instant;premiumExclusivityExpirationTime:Instant;trip:TripReadDto;labels:String[]
load-recommender	api-dtos	api-dtos/src/main/java/cars/ship/recommender/dtos/out/NotificationSettingsDto.java	NotificationSettingsDto	dto			3	inAppEnabled:boolean;emailEnabled:boolean;notificationsSnoozed:boolean
load-recommender	api-dtos	api-dtos/src/main/java/cars/ship/recommender/dtos/out/LoadRecommendationDto.java	LoadRecommendationDto	dto			6	id:String;createTime:Instant;updateTime:Instant;status:Status;entity:LoadDto;type:RecommendationType
load-recommender	api-dtos	api-dtos/src/main/java/cars/ship/recommender/dtos/in/RecommendationScore.java	RecommendationScore	dto			3	carrierId:String;score:double;usersToNotify:String[]
load-recommender	api-dtos	api-dtos/src/main/java/cars/ship/recommender/dtos/in/EventDto.java	EventDto	dto			0	
load-recommender	api-dtos	api-dtos/src/main/java/cars/ship/recommender/dtos/in/RecommendationMessageDto.java	RecommendationMessageDto	dto			5	referenceId:String;loadId:String;postingId:String;createTime:Instant;scores:RecommendationScore[]
load-recommender	api-dtos	api-dtos/src/main/java/cars/ship/recommender/dtos/in/sorting/RecommendationSort.java	RecommendationSort	dto			0	
load-recommender	db-entities	db-entities/src/main/java/cars/ship/recommender/entities/NotificationSettingsEntity.java	NotificationSettingsEntity	jpa	BaseEntity	notification_settings	4	user:UserEntity;inAppEnabled:boolean;emailEnabled:boolean;notificationsSnoozed:boolean
load-recommender	db-entities	db-entities/src/main/java/cars/ship/recommender/entities/CarrierRecommendationEntity.java	CarrierRecommendationEntity	jpa	BaseEntity	carrier_recommendations	5	company:CompanyEntity;usersToNotify:UserEntity[];createTime:Instant;updateTime:Instant;state:RecommendationState
load-recommender	db-entities	db-entities/src/main/java/cars/ship/recommender/entities/SentEmailEntity.java	SentEmailEntity	jpa	BaseEntity	sent_emails	6	userId:String;loadId:String;sentAt:Instant;source:Source;status:EmailStatus;recommendationId:String
load-recommender	db-entities	db-entities/src/main/java/cars/ship/recommender/entities/UserEntity.java	UserEntity	jpa	BaseEntity	users	7	externalUpdateTime:Instant;active:boolean;email:String;name:String;primaryRole:UserRoleEnum;roles:UserRoleEnum[];company:CompanyEntity
load-recommender	db-entities	db-entities/src/main/java/cars/ship/recommender/entities/RecommendationEntity.java	RecommendationEntity	jpa	BaseEntity	recommendations	12	userId:String;loadId:String;createdAt:Instant;updatedAt:Instant;status:Status;deletionReason:DeletionReason;sentAt:Instant;seenAt:Instant;active:boolean;fallbackNotificationSent:Boolean;notSentReasons:String[];externalId:String
load-recommender	db-entities	db-entities/src/main/java/cars/ship/recommender/entities/CompanyEntity.java	CompanyEntity	jpa	BaseEntity	companies	4	externalUpdateTime:Instant;active:boolean;subscriptionName:String;subscriptionStatus:String
load-recommender	db-entities	db-entities/src/main/java/cars/ship/recommender/entities/DeletedLoadEntity.java	DeletedLoadEntity	jpa	BaseEntity	deleted_loads	2	deletedAt:Instant;that:DeletedLoadEntity
load-recommender	db-entities	db-entities/src/main/java/cars/ship/recommender/entities/SentPushNotificationEntity.java	SentPushNotificationEntity	jpa	BaseEntity	sent_push_notifications	3	userId:String;loadId:String;sentAt:Instant
load-recommender	resources	resources/src/main/java/cars/ship/recommender/rest/dto/MarkNotificationsDto.java	MarkNotificationsDto	dto			1	timestamp:Instant
load-recommender	db-syncer	db-syncer/src/main/java/cars/ship/recommender/sync/models/DbUser.java	DbUser	dto			7	id:String;companyId:String;active:boolean;name:String;email:String;primaryRole:UserRoleEnum;roles:UserRoleEnum[]
load-recommender	db-syncer	db-syncer/src/main/java/cars/ship/recommender/sync/models/DbCompany.java	DbCompany	dto			7	id:String;active:boolean;name:String;email:String;lastModified:String;subscriptionName:String;subscriptionStatus:String
load-recommender	db-syncer	db-syncer/src/main/java/cars/ship/recommender/sync/models/DbUserRow.java	DbUserRow	dto			7	id:String;companyId:String;active:boolean;name:String;email:String;primaryRole:UserRoleEnum;roleName:UserRoleEnum
load-recommender	services	services/src/main/java/cars/ship/recommender/models/CarrierRecommendation.java	CarrierRecommendation	dto			7	id:String;referenceId:String;loadId:String;createTime:Instant;carrierId:String;state:RecommendationState;usersToNotify:String[]
load-recommender	services	services/src/main/java/cars/ship/recommender/models/Recommendation.java	Recommendation	dto			13	id:String;userId:String;loadId:String;createdAt:Instant;updatedAt:Instant;source:Source;status:Status;sentAt:Instant;active:boolean;externalId:String;load:LoadDto;seenAt:Instant;fallbackNotification:EmailNotification
load-recommender	services	services/src/main/java/cars/ship/recommender/models/NotificationSettings.java	NotificationSettings	dto			3	inAppEnabled:boolean;emailEnabled:boolean;notificationsSnoozed:boolean
load-recommender	services	services/src/main/java/cars/ship/recommender/models/PushNotification.java	PushNotification	dto			5	userId:String;loadId:String;title:String;body:String;data:String[]
load-recommender	services	services/src/main/java/cars/ship/recommender/models/EmailNotification.java	EmailNotification	dto			7	id:String;source:Source;userId:String;userEmail:String;loadId:String;emailData:EmailDataDto;recommendationId:String
load-recommender	services	services/src/main/java/cars/ship/recommender/models/dtos/LoadRecommenderNotificationDto.java	LoadRecommenderNotificationDto	dto			5	source:Source;id:String;loadId:String;companyId:String;lastUpdateTime:Instant
load-recommender	services	services/src/main/java/cars/ship/recommender/models/dtos/LoadSyncDto.java	LoadSyncDto	dto			2	carrierUserManagementId:String;load:CtmsLoadMessageDto
load-recommender	services	services/src/main/java/cars/ship/recommender/models/dtos/CtmsGeoPointDto.java	CtmsGeoPointDto	dto			1	coordinates:double[]
load-recommender	services	services/src/main/java/cars/ship/recommender/models/dtos/CtmsLoadMessageDto.java	CtmsLoadMessageDto	dto			39	id:String;pickupCity:String;pickupState:String;pickupZip:String;pickupRequestedDateStart:LocalDate;pickupRequestedDateStartType:String;pickupRequestedDateEnd:LocalDate;pickupRequestedDateEndType:String;pickupAddressLocation:CtmsGeoPointDto;deliveryCity:String;deliveryState:String;deliveryZip:String;deliveryRequestedDateStart:LocalDate;deliveryRequestedDateStartType:String;deliveryRequestedDateEnd:LocalDate;deliveryRequestedDateEndType:String;deliveryAddressLocation:CtmsGeoPointDto;vehicles:PostingVehicleReadDto[];totalPaymentToCarrier:BigDecimal;createTime:Instant;updateTime:Instant;distanceImperial:int;pricePerMile:BigDecimal;paymentOnPickup:BigDecimal;paymentOnPickupMethod:String;paymentOnDelivery:BigDecimal;paymentOnDeliveryMethod:String;shipperName:String;shipperUserManagementId:String;status:String;shipperLoadId:String;shipperId:String;enclosedTrailer:boolean;paymentTermBegins:String;paymentTermBusinessDays:String;canBeClaimed:boolean;postedExternallyTime:Instant;exclusivityExpirationTime:Instant;trips:TripDto[]
load-recommender	services	services/src/main/java/cars/ship/recommender/models/dtos/EmailDataDto.java	EmailDataDto	dto			4	subject:String;templateId:String;templateData:Object[];sender:String
loadboard-backend	api-dtos	api-dtos/src/main/java/cars/ship/loadboard/dtos/PostingDto.java	PostingDto	dto			28	id:String;vehicles:VehicleDto[];attachments:AttachmentDto[];allowInstantBooking:Boolean;customer:CustomerDto;damagesType:DamagesType;deliveryLocation:LocationDetailsDto;driverInstructions:String;firstAvailableDate:LocalDate;forbidVehicleUpdate:boolean;forceDatesEstimation:boolean;forceDriverAssignment:boolean;dispatchInstructions:String;labels:String[];listedPrice:BigDecimal;locationSharingRequiredByShipper:Boolean;paymentDetails:PaymentDetailsDto;pickupLocation:LocationDetailsDto;preferredOnly:Boolean;shipperLoadId:String;source:String;specificLoadRequirements:String;termsAndConditions:String;truckNumberRequired:boolean;ushipCode:String;useEnclosedTrailer:boolean;postToSpecificCarriers:String[];postedExternallyTime:Instant
loadboard-backend	api-dtos	api-dtos/src/main/java/cars/ship/loadboard/dtos/ClaimPostingDto.java	ClaimPostingDto	dto			0	
